[     477ms] [LOG] WP Page Cache Control: Using provider: PantheonProvider @ https://www.nationalreview.com/wp-content/plugins/wp-page-cache-control/build/global/index.js?ver=9865e1fee0914bd3912b:0
[     696ms] [LOG] PAYWALL STATE {authorizationBypassFetched: false, authorizationFetched: false, hasAuthorization: false, hasAuthorizationBypass: false, isIncognito: null} @ https://www.nationalreview.com/wp-content/themes/national-review/client/build/js/app.bundle.min.js?ver=06cb27a50249ddbefb35:1
[     708ms] [LOG] Clearing Blueconic Container @ https://www.nationalreview.com/wp-content/themes/national-review/client/build/js/app.bundle.min.js?ver=06cb27a50249ddbefb35:1
[     717ms] [LOG] PAYWALL STATE {authorizationBypassFetched: false, authorizationFetched: false, hasAuthorization: false, hasAuthorizationBypass: false, isIncognito: null} @ https://www.nationalreview.com/wp-content/themes/national-review/client/build/js/app.bundle.min.js?ver=06cb27a50249ddbefb35:1
[     748ms] [LOG] PAYWALL STATE {authorizationBypassFetched: false, authorizationFetched: false, hasAuthorization: false, hasAuthorizationBypass: false, isIncognito: false} @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[     876ms] [LOG] 33across tag not fired : disabled by ad layers @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[    1049ms] [LOG] Insticator is not available. Setting timer to detect if it is blocked. @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[    1049ms] [LOG] Insticator SSO Token  @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[    1055ms] [LOG] Lazy loading elements with tude.lazyloadDivs: [] @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[    1057ms] [LOG] Blueconic tracking fallback: Condition not met @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[    1130ms] [LOG] 33across tag not fired : disabled by ad layers @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[    1561ms] [WARNING] fun-hooks: referenced 'realTimeData' but it was never created @ https://d3lcz8vpax4lo2.cloudfront.net/files/instibid/0c41544c-29f9-4780-aec0-693eebfe42cf/20092d40-7a99-42a7-a415-6dd88fa54524.js:10
[    1561ms] [WARNING] fun-hooks: referenced 'adpod' but it was never created @ https://d3lcz8vpax4lo2.cloudfront.net/files/instibid/0c41544c-29f9-4780-aec0-693eebfe42cf/20092d40-7a99-42a7-a415-6dd88fa54524.js:10
[    1561ms] [WARNING] fun-hooks: referenced 'paapi' but it was never created @ https://d3lcz8vpax4lo2.cloudfront.net/files/instibid/0c41544c-29f9-4780-aec0-693eebfe42cf/20092d40-7a99-42a7-a415-6dd88fa54524.js:10
[    1761ms] [LOG] 33across tag not fired : disabled by ad layers @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[    1762ms] [LOG] Insticator SSO Token  @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[    1816ms] [ERROR] Failed to load resource: net::ERR_NAME_NOT_RESOLVED @ https://sync.search.spotxchange.com/partner?source=217545:0
[    2365ms] [WARNING] [Meta Pixel] - Duplicate Pixel ID: 1626507807583041. @ https://connect.facebook.net/en_US/fbevents.js:177
[    2514ms] [LOG] 33across tag not fired : disabled by ad layers @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[    2665ms] [WARNING] Unable to get WebChoices Preferences TIME OUT @ https://s.ntv.io/serve/load.js:1
[    5655ms] [LOG] Freestar initCallback called @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[    6460ms] [WARNING] [GPT] Using deprecated googletag.encryptedSignalProviders. Please use googletag.secureSignalProviders instead.
https://goo.gle/gpt-message#155 @ https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202604010101/pubads_impl.js?cb=31097617:18
[    6469ms] [WARNING] [GPT] Using deprecated googletag.encryptedSignalProviders. Please use googletag.secureSignalProviders instead.
https://goo.gle/gpt-message#155 @ https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202604010101/pubads_impl.js?cb=31097617:18
[    6668ms] [LOG] Called iframe: pa.openx.net [] 
Number of topics:  0 @ https://pa.openx.net/topics_frame.html?bidder=openx:15
[    7029ms] [LOG] Called iframe: ads.pubmatic.com [] 
Number of topics:  0 @ https://ads.pubmatic.com/AdServer/js/topics/topics_frame.html?bidder=pubmatic:19
[    7350ms] [WARNING] An iframe which has both allow-scripts and allow-same-origin for its sandbox attribute can escape its sandboxing. @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[    7543ms] [ERROR] Access to fetch at 'https://ex.ingage.tech/v1/openrtb?publisherId=e0247337-444d-44f9-8a10-45f38333b383' from origin 'https://www.nationalreview.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ https://www.nationalreview.com/news/mamdani-aoc-offer-taxpayer-funded-child-care-to-illegal-immigrants-in-spanish-language-video/:0
[    7543ms] [ERROR] Failed to load resource: net::ERR_FAILED @ https://ex.ingage.tech/v1/openrtb?publisherId=e0247337-444d-44f9-8a10-45f38333b383:0
[    7672ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ https://cadmus.script.ac/d14pdm1b7fi5kh/script.js:0
[    7893ms] [ERROR] Access to XMLHttpRequest at 'https://eb2.3lift.com/sync?gdpr=&cmp_cs=&us_privacy=&gpp=&gpp_sid=&redir=https://s2s.t13.io/setuid?bidder=triplelift&gdpr=&gdpr_consent=&us_privacy=&gpp=&gpp_sid=&f=b&uid=$UID' from origin 'https://www.nationalreview.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ https://www.nationalreview.com/news/mamdani-aoc-offer-taxpayer-funded-child-care-to-illegal-immigrants-in-spanish-language-video/:0
